filedFor,cik,ticker,no_shares,value,industry
2002-09-30,39899,TGNA,3636800,262504000,Communication Services
2002-09-30,39911,GAP,20000000,217000000,Consumer Cyclical
2002-09-30,40211,GATX,7340700,145346000,Industrials
2002-09-30,41499,G1,96000000,2841600000,Unknown
2002-09-30,43362,GLK1,6948700,166908000,Unknown
2002-09-30,4962,AXP,7924200,221481000,Financial Services
2002-09-30,750556,STI1,5806300,356972000,Unknown
2002-09-30,757011,USG1,6500000,26000000,Unknown
2002-09-30,836102,TT2,3232000,205620000,Unknown
2002-09-30,8670,ADP,394600,13720000,Technology
2002-09-30,874016,JNY,3211300,98587000,Unknown
2002-09-30,874691,OSI2,1867500,51319000,Unknown
2002-09-30,88204,SEE,2492800,42103000,Consumer Cyclical
2002-09-30,89439,MLI,2480900,64255000,Industrials
2002-09-30,922812,AXP,151610700,4727222000,Financial Services
2002-09-30,932872,SJR/BEUR,22000000,183040000,Unknown
2002-12-31,1012100,SEE 2 04/01/18 A,704500,30012000,Unknown
2002-12-31,1020882,IRM,8000000,264080000,Real Estate
2002-12-31,104889,GHC,1727765,1275091000,Consumer Defensive
2002-12-31,105598,WFC,53265080,2496535000,Financial Services
2002-12-31,105729,WSC1,5703087,1767672000,Unknown
2002-12-31,1059556,DNB1,1067900,36832000,Unknown
2002-12-31,1059556,DUT,24000000,990960000,Unknown
2002-12-31,109261,ZNT,451355,10592000,Unknown
2002-12-31,1108329,PC6A,217000,4356000,Unknown
2002-12-31,1179484,CDCO,1452549,113299000,Unknown
2002-12-31,12659,HRB,15999200,643168000,Consumer Cyclical
2002-12-31,1393231,COST,5254000,147427000,Consumer Defensive
2002-12-31,21344,KO,200000000,8768001000,Consumer Defensive
2002-12-31,29905,DOV,4000000,116640000,Industrials
2002-12-31,320187,NKE,6000000,266820000,Consumer Cyclical
2002-12-31,320335,GL,1938179,70802000,Financial Services
2002-12-31,36270,MTB,6708760,532341000,Financial Services
2002-12-31,39899,TGNA,3636800,261122000,Communication Services
2002-12-31,39911,GAP,20000000,310400000,Consumer Cyclical
2002-12-31,40211,GATX,7340700,167515000,Industrials
2002-12-31,41499,G1,96000000,2914560000,Unknown
2002-12-31,43362,GLK1,6948700,165935000,Unknown
2002-12-31,4962,AXP,11234500,397814000,Financial Services
2002-12-31,713676,PNC,715000,29959000,Financial Services
2002-12-31,750556,STI1,5806300,330494000,Unknown
2002-12-31,757011,USG1,6500000,54925000,Unknown
2002-12-31,764478,BBY,542800,13109000,Consumer Cyclical
2002-12-31,836102,TT2,3232000,229924000,Unknown
2002-12-31,874016,JNY,894200,31690000,Unknown
2002-12-31,874691,OSI2,1867500,64317000,Unknown
2002-12-31,88204,SEE,2492800,92981000,Consumer Cyclical
2002-12-31,89439,MLI,2480900,67605000,Industrials
2002-12-31,922812,AXP,151610700,5359437000,Financial Services
2002-12-31,932872,SJR/BEUR,22000000,226160000,Unknown
2003-03-31,1012100,SEE 2 04/01/18 A,704500,32393000,Unknown
2003-03-31,1020882,IRM,7947500,303992000,Real Estate
2003-03-31,104889,GHC,1727765,1177230000,Consumer Defensive
2003-03-31,105598,WFC,53265080,2396396000,Financial Services
2003-03-31,105729,WSC1,5703087,1699520000,Unknown
2003-03-31,1059556,DNB1,680000,26010000,Unknown
2003-03-31,1059556,DUT,24000000,1109520000,Unknown
2003-03-31,1065865,JNS,200000,5440000,Unknown
2003-03-31,109261,ZNT,451355,9660000,Unknown
2003-03-31,1108329,PC6A,718800,14994000,Unknown
2003-03-31,1179484,CDCO,1468573,197743000,Unknown
2003-03-31,1195454,WTEL,1590696,20043000,Unknown
2003-03-31,12659,HRB,15999200,683006000,Consumer Cyclical
2003-03-31,1393231,COST,5254000,157778000,Consumer Defensive
2003-03-31,21344,KO,200000000,8096000000,Consumer Defensive
2003-03-31,29905,DOV,4500000,108990000,Industrials
2003-03-31,30371,DUK,4813900,69994000,Utilities
2003-03-31,320187,NKE,6000000,308520000,Consumer Cyclical
2003-03-31,320335,GL,1938179,69386000,Financial Services
2003-03-31,36270,MTB,6708760,527175000,Financial Services
2003-03-31,39899,TGNA,3636800,256140000,Communication Services
2003-03-31,39911,GAP,20000000,289800000,Consumer Cyclical
2003-03-31,40211,GATX,7340700,106293000,Industrials
2003-03-31,41499,G1,96000000,2970240000,Unknown
2003-03-31,43362,GLK1,6948700,154261000,Unknown
2003-03-31,4962,AXP,8539400,316043000,Financial Services
2003-03-31,750556,STI1,5806300,305702000,Unknown
2003-03-31,757011,USG1,6500000,27040000,Unknown
2003-03-31,794323,LVLT,879000,4536000,Unknown
2003-03-31,836102,TT2,3232000,222264000,Unknown
2003-03-31,8670,ADP,5735000,176581000,Technology
2003-03-31,874691,OSI2,1867500,66072000,Unknown
2003-03-31,88204,SEE,2492800,100036000,Consumer Cyclical
2003-03-31,89439,MLI,2480900,61948000,Industrials
2003-03-31,922812,AXP,151610700,5038024000,Financial Services
2003-03-31,932872,SJR/BEUR,22000000,231200000,Unknown
2003-06-30,1012100,SEE 2 04/01/18 A,704500,35894000,Unknown
2003-06-30,1020882,IRM,5018500,186136000,Real Estate
2003-06-30,104889,GHC,1727765,1246278000,Consumer Defensive
2003-06-30,105598,WFC,53603380,2701611000,Financial Services
2003-06-30,105729,WSC1,5703087,1779363000,Unknown
2003-06-30,1059556,DNB1,389700,16017000,Unknown
2003-06-30,1059556,DUT,24000000,1265040000,Unknown
2003-06-30,109261,ZNT,167055,4761000,Unknown
2003-06-30,1108329,PC6A,659000,19902000,Unknown
2003-06-30,1179484,CDCO,1477453,146268000,Unknown
2003-06-30,12659,HRB,15999200,691965000,Consumer Cyclical
2003-06-30,1393231,COST,5254000,192296000,Consumer Defensive
2003-06-30,21344,KO,200000000,9282000000,Consumer Defensive
2003-06-30,29905,DOV,4500000,134820000,Industrials
2003-06-30,30371,DUK,1418800,28305000,Utilities
2003-06-30,311314,HCA,16609000,532152000,Healthcare
2003-06-30,320187,NKE,6000000,320940000,Consumer Cyclical
2003-06-30,320335,GL,1938179,72197000,Financial Services
2003-06-30,36270,MTB,6708760,565011000,Financial Services
2003-06-30,39899,TGNA,3636800,279343000,Communication Services
2003-06-30,39911,GAP,20000000,375200000,Consumer Cyclical
2003-06-30,40211,GATX,2228900,36443000,Industrials
2003-06-30,41499,G1,96000000,3058560000,Unknown
2003-06-30,43362,GLK1,4348700,88713000,Unknown
2003-06-30,4962,AXP,8000000,331520000,Financial Services
2003-06-30,750556,STI1,5806300,344545000,Unknown
2003-06-30,757011,USG1,6500000,123500000,Unknown
2003-06-30,794323,LVLT,19877465,133178000,Unknown
2003-06-30,836102,TT2,3232000,238942000,Unknown
2003-06-30,8670,ADP,5735000,194187000,Technology
2003-06-30,874691,OSI2,1867500,72832000,Unknown
2003-06-30,88204,SEE,1569600,74807000,Consumer Cyclical
2003-06-30,89439,MLI,2480900,67257000,Industrials
2003-06-30,922812,AXP,151610700,6338843000,Financial Services
2003-06-30,932872,SJR/BEUR,22000000,295900000,Unknown
2003-09-30,1020882,IRM,5018500,180164000,Real Estate
2003-09-30,104889,GHC,1727765,1148964000,Consumer Defensive
2003-09-30,105598,WFC,56448380,2907091000,Financial Services
2003-09-30,105729,WSC1,5703087,1938878000,Unknown
2003-09-30,1059556,DNB1,136000,5649000,Unknown
2003-09-30,1059556,DUT,24000000,1319280000,Unknown
2003-09-30,109261,ZNT,167055,4647000,Unknown
2003-09-30,1108329,PC6A,659000,22110000,Unknown
2003-09-30,1179484,CDCO,1486375,124855000,Unknown
2003-09-30,12659,HRB,15999200,690365000,Consumer Cyclical
2003-09-30,1393231,COST,5254000,163662000,Consumer Defensive
2003-09-30,21344,KO,200000000,8592000000,Consumer Defensive
2003-09-30,29905,DOV,3129300,110683000,Industrials
2003-09-30,30371,DUK,1418800,25269000,Utilities
2003-09-30,311314,HCA,17900700,659820000,Healthcare
2003-09-30,320187,NKE,6000000,364920000,Consumer Cyclical
2003-09-30,320335,GL,1938179,78768000,Financial Services
2003-09-30,36270,MTB,6708760,585675000,Financial Services
2003-09-30,39899,TGNA,3636800,282070000,Communication Services
2003-09-30,39911,GAP,20000000,342400000,Consumer Cyclical
2003-09-30,41499,G1,96000000,3070080000,Unknown
2003-09-30,43362,GLK1,547700,11014000,Unknown
2003-09-30,4962,AXP,8000000,319680000,Financial Services
2003-09-30,750556,STI1,5806300,350526000,Unknown
2003-09-30,757011,USG1,6500000,112060000,Unknown
2003-09-30,794323,LVLT,1644900,8915000,Unknown
2003-09-30,836102,TT2,3232000,272296000,Unknown
2003-09-30,8670,ADP,1649000,59117000,Technology
2003-09-30,874691,OSI2,1867500,70722000,Unknown
2003-09-30,88204,SEE,1123800,53077000,Consumer Cyclical
2003-09-30,89439,MLI,2480900,63139000,Industrials
2003-09-30,922812,AXP,151610700,6831578000,Financial Services
2003-09-30,932872,SJR/BEUR,22000000,267520000,Unknown
2003-12-31,1020882,IRM,15055500,595293000,Real Estate
2003-12-31,104889,GHC,5183295,4102059000,Consumer Defensive
2003-12-31,1052045,SVM1,3050700,35541000,Unknown
2003-12-31,105598,WFC,169345140,9972738000,Financial Services
2003-12-31,105729,WSC1,17109261,5988240000,Unknown
2003-12-31,1059556,DUT,72000000,4359600000,Unknown
2003-12-31,109261,ZNT,471165,15336000,Unknown
2003-12-31,1108329,PC6A,1977000,112788000,Unknown
2003-12-31,1179484,CDCO,4468242,178731000,Unknown
2003-12-31,12659,HRB,43832700,2427018000,Consumer Cyclical
2003-12-31,1393231,COST,15762000,586032000,Consumer Defensive
2003-12-31,21344,KO,600000000,30449997000,Consumer Defensive
2003-12-31,29905,DOV,6000000,238500000,Industrials
2003-12-31,311314,HCA,46429500,1994610000,Healthcare
2003-12-31,320187,NKE,18000000,1232280000,Consumer Cyclical
2003-12-31,320335,GL,5814537,264792000,Financial Services
2003-12-31,36270,MTB,20126280,1978413000,Financial Services
2003-12-31,39899,TGNA,10369800,924570000,Communication Services
2003-12-31,39911,GAP,45000000,1044450000,Consumer Cyclical
2003-12-31,41499,G1,288000000,10578240000,Unknown
2003-12-31,4962,AXP,24000000,986160000,Financial Services
2003-12-31,744473,CDSCY,10000000,73311000,Unknown
2003-12-31,750556,STI1,17418900,1245450000,Unknown
2003-12-31,757011,USG1,19500000,323115000,Unknown
2003-12-31,836102,TT2,9696000,976386000,Unknown
2003-12-31,8670,ADP,4247100,168228000,Technology
2003-12-31,874691,OSI2,5602500,247686000,Unknown
2003-12-31,88204,SEE,3371400,182529000,Consumer Cyclical
2003-12-31,89439,MLI,7340700,252225000,Industrials
2003-12-31,922812,AXP,454832100,21936552000,Financial Services
2003-12-31,932872,SJR/BEUR,66000000,1024320000,Unknown
2004-03-31,1020882,IRM,10037000,447952000,Real Estate
2004-03-31,104889,GHC,3455530,3056106000,Consumer Defensive
2004-03-31,1052045,SVM1,3432000,41218000,Unknown
2004-03-31,105598,WFC,112896760,6397858000,Financial Services
2004-03-31,105729,WSC1,11406174,4414190000,Unknown
2004-03-31,1059556,DUT,48000000,3398400000,Unknown
2004-03-31,109261,ZNT,253710,9946000,Unknown
2004-03-31,1108329,PC6A,1318000,67350000,Unknown
2004-03-31,1179484,CDCO,2978860,110218000,Unknown
2004-03-31,12659,HRB,28701200,1464622000,Consumer Cyclical
2004-03-31,1393231,COST,10508000,395206000,Consumer Defensive
2004-03-31,21344,KO,400000000,20120002000,Consumer Defensive
2004-03-31,311314,HCA,30953000,1257310000,Healthcare
2004-03-31,320187,NKE,12000000,934440000,Consumer Cyclical
2004-03-31,320335,GL,3876358,208506000,Financial Services
2004-03-31,36270,MTB,13417520,1205564000,Financial Services
2004-03-31,39899,TGNA,6913200,609328000,Communication Services
2004-03-31,39911,GAP,30000000,657600000,Consumer Cyclical
2004-03-31,41499,G1,192000000,7507200000,Unknown
2004-03-31,4962,AXP,16000000,674560000,Financial Services
2004-03-31,750556,STI1,11612600,809516000,Unknown
2004-03-31,757011,USG1,13000000,227370000,Unknown
2004-03-31,836102,TT2,6464000,735280000,Unknown
2004-03-31,874691,OSI2,3637600,177152000,Unknown
2004-03-31,88204,SEE,2247600,111734000,Consumer Cyclical
2004-03-31,89439,MLI,4893800,166340000,Industrials
2004-03-31,922812,AXP,303221400,15722030000,Financial Services
2004-03-31,932872,SJR/BEUR,44000000,718520000,Unknown
2004-06-30,1017968,EDGW,8000000,141520000,Unknown
2004-06-30,1020882,IRM,5018500,242193000,Real Estate
2004-06-30,104889,GHC,1727765,1606839000,Consumer Defensive
2004-06-30,1052045,SVM1,3731300,45970000,Unknown
2004-06-30,105598,WFC,56448380,3230541000,Financial Services
2004-06-30,105729,WSC1,5703087,2064517000,Unknown
2004-06-30,1059556,DUT,24000000,1551840000,Unknown
2004-06-30,109261,ZNT,53955,2622000,Unknown
2004-06-30,1108329,PC6A,659000,30511000,Unknown
2004-06-30,1179484,CDCO,1489628,38730000,Unknown
2004-06-30,12659,HRB,14350600,684237000,Consumer Cyclical
2004-06-30,1393231,COST,5254000,216360000,Consumer Defensive
2004-06-30,21344,KO,200000000,10096000000,Consumer Defensive
2004-06-30,22301,CMCSA,5000000,138050000,Communication Services
2004-06-30,311314,HCA,14566100,605804000,Healthcare
2004-06-30,320187,NKE,6000000,454500000,Consumer Cyclical
2004-06-30,320335,GL,1938179,104274000,Financial Services
2004-06-30,36270,MTB,6708760,585675000,Financial Services
2004-06-30,39899,TGNA,3447600,292529000,Communication Services
2004-06-30,39911,GAP,15000000,363750000,Consumer Cyclical
2004-06-30,41499,G1,96000000,4070400000,Unknown
2004-06-30,4962,AXP,8000000,356160000,Financial Services
2004-06-30,750556,STI1,5806300,377351000,Unknown
2004-06-30,757011,USG1,6500000,114270000,Unknown
2004-06-30,836102,TT2,10497900,423170000,Unknown
2004-06-30,874691,OSI2,1818800,75226000,Unknown
2004-06-30,88204,SEE,1113300,59305000,Consumer Cyclical
2004-06-30,89439,MLI,1929800,69087000,Industrials
2004-06-30,922812,AXP,151610700,7789757000,Financial Services
2004-06-30,932872,SJR/BEUR,22000000,369820000,Unknown
2004-09-30,1017968,EDGW,8000000,144640000,Unknown
2004-09-30,1020882,IRM,6935750,234775000,Real Estate
2004-09-30,104889,GHC,1727765,1589544000,Consumer Defensive
2004-09-30,1052045,SVM1,5611600,72165000,Unknown
2004-09-30,105598,WFC,56448380,3366016000,Financial Services
2004-09-30,105729,WSC1,5703087,2004635000,Unknown
2004-09-30,1059556,DUT,24000000,1758000000,Unknown
2004-09-30,1108329,PC6A,659000,35428000,Unknown
2004-09-30,1179484,CDCO,1489628,31654000,Unknown
2004-09-30,12659,HRB,14350600,709207000,Consumer Cyclical
2004-09-30,1393231,COST,5254000,218094000,Consumer Defensive
2004-09-30,21344,KO,200000000,8010000000,Consumer Defensive
2004-09-30,22301,CMCSA,5000000,139600000,Communication Services
2004-09-30,311314,HCA,13500200,515033000,Healthcare
2004-09-30,320187,NKE,6000000,472800000,Consumer Cyclical
2004-09-30,320335,GL,2029379,107922000,Financial Services
2004-09-30,36270,MTB,6708760,642028000,Financial Services
2004-09-30,39899,TGNA,3447600,288771000,Communication Services
2004-09-30,39911,GAP,15000000,279750000,Consumer Cyclical
2004-09-30,41499,G1,96000000,4007040000,Unknown
2004-09-30,4962,AXP,8000000,348000000,Financial Services
2004-09-30,750556,STI1,4936900,347608000,Unknown
2004-09-30,757011,USG1,6500000,118495000,Unknown
2004-09-30,836102,TT2,10497900,408473000,Unknown
2004-09-30,874691,OSI2,1818800,75535000,Unknown
2004-09-30,88204,SEE,1113300,51601000,Consumer Cyclical
2004-09-30,89439,MLI,1361900,58494000,Industrials
2004-09-30,922812,AXP,151610700,7801887000,Financial Services
2004-09-30,932872,SJR/BEUR,22000000,366960000,Unknown
2004-12-31,1017968,EDGW,8000000,157600000,Unknown
2004-12-31,1020882,IRM,5000000,152450000,Real Estate
2004-12-31,104889,GHC,1727765,1698428000,Consumer Defensive
2004-12-31,1052045,SVM1,5611600,77384000,Unknown
2004-12-31,105598,WFC,56448380,3508265000,Financial Services
2004-12-31,105729,WSC1,5703087,2241313000,Unknown
2004-12-31,1059556,DUT,24000000,2084400000,Unknown
2004-12-31,1108329,PC6A,659000,35382000,Unknown
2004-12-31,1179484,CDCO,1509433,33676000,Unknown
2004-12-31,12659,HRB,14350600,703179000,Consumer Cyclical
2004-12-31,1393231,COST,5254000,254346000,Consumer Defensive
2004-12-31,21344,KO,200000000,8328000000,Consumer Defensive
2004-12-31,22301,CMCSA,10000000,328400000,Communication Services
2004-12-31,310569,BUD1,9493300,481595000,Unknown
2004-12-31,320187,NKE,2500000,226725000,Consumer Cyclical
2004-12-31,320335,GL,2038979,116506000,Financial Services
2004-12-31,36270,MTB,6708760,723473000,Financial Services
2004-12-31,39899,TGNA,3447600,281668000,Communication Services
2004-12-31,39911,GAP,15434243,325971000,Consumer Cyclical
2004-12-31,41499,G1,96000000,4298880000,Unknown
2004-12-31,4962,AXP,8000000,340320000,Financial Services
2004-12-31,750556,STI1,3204600,236756000,Unknown
2004-12-31,757011,USG1,6500000,261755000,Unknown
2004-12-31,836102,TT2,10497900,433773000,Unknown
2004-12-31,874691,OSI2,1818800,83265000,Unknown
2004-12-31,88204,SEE,1113300,59305000,Consumer Cyclical
2004-12-31,89439,MLI,1361900,43853000,Industrials
2004-12-31,922812,AXP,151610700,8546296000,Financial Services
2004-12-31,931336,DFODQ,375500,12373000,Unknown
2004-12-31,932872,SJR/BEUR,22000000,402380000,Unknown
2005-03-31,1017968,EDGW,8000000,145840000,Unknown
2005-03-31,1020882,IRM,5000000,144200000,Real Estate
2005-03-31,104889,GHC,1727765,1544623000,Consumer Defensive
2005-03-31,1052045,SVM1,5611600,75757000,Unknown
2005-03-31,105598,WFC,56448380,3375614000,Financial Services
2005-03-31,105729,WSC1,5703087,2195574000,Unknown
2005-03-31,1059556,DUT,24000000,1940640000,Unknown
2005-03-31,1108329,PC6A,659000,41662000,Unknown
2005-03-31,1179484,CDCO,1518978,21266000,Unknown
2005-03-31,12659,HRB,13510900,683381000,Consumer Cyclical
2005-03-31,1393231,COST,5254000,232122000,Consumer Defensive
2005-03-31,21344,KO,200000000,8334000000,Consumer Defensive
2005-03-31,22301,CMCSA,10000000,334400000,Communication Services
2005-03-31,310569,BUD1,40528400,1920641000,Unknown
2005-03-31,320187,NKE,2474600,206159000,Consumer Cyclical
2005-03-31,320335,GL,2074879,108308000,Financial Services
2005-03-31,36270,MTB,6708760,684696000,Financial Services
2005-03-31,39899,TGNA,3447600,272636000,Communication Services
2005-03-31,39911,GAP,15434243,337084000,Consumer Cyclical
2005-03-31,41499,G1,100980000,5097470000,Unknown
2005-03-31,4962,AXP,8000000,314480000,Financial Services
2005-03-31,750556,STI1,3204600,230955000,Unknown
2005-03-31,757011,USG1,6500000,215540000,Unknown
2005-03-31,80424,PG,630000,33390000,Consumer Defensive
2005-03-31,836102,TT2,10497900,487942000,Unknown
2005-03-31,874691,OSI2,1818800,83283000,Unknown
2005-03-31,88204,SEE,1113300,57825000,Consumer Cyclical
2005-03-31,89439,MLI,851800,23978000,Industrials
2005-03-31,922812,AXP,151610700,7788242000,Financial Services
2005-03-31,931336,DFODQ,375500,12880000,Unknown
2005-03-31,932872,SJR/BEUR,22000000,448360000,Unknown
2005-06-30,1017968,EDGW,8000000,113520000,Unknown
2005-06-30,1020882,IRM,5000000,155100000,Real Estate
2005-06-30,104169,WMT,15647300,754200000,Consumer Defensive
2005-06-30,104889,GHC,1727765,1442736000,Consumer Defensive
2005-06-30,1052045,SVM1,5611600,75195000,Unknown
2005-06-30,105598,WFC,56448380,3476090000,Financial Services
2005-06-30,105729,WSC1,5703087,2053111000,Unknown
2005-06-30,1059556,DUT,48000000,2158080000,Unknown
2005-06-30,1108329,PC6A,659000,48404000,Unknown
2005-06-30,1179484,CDCO,1518978,22784000,Unknown
2005-06-30,12659,HRB,10917400,637030000,Consumer Cyclical
2005-06-30,1393231,COST,5254000,235011000,Consumer Defensive
2005-06-30,21344,KO,200000000,8350000000,Consumer Defensive
2005-06-30,22301,CMCSA,10000000,299500000,Communication Services
2005-06-30,310569,BUD1,46539300,2129173000,Unknown
2005-06-30,320187,NKE,2474600,214300000,Consumer Cyclical
2005-06-30,320335,GL,2376979,124078000,Financial Services
2005-06-30,354950,HD,945000,36760000,Consumer Cyclical
2005-06-30,36270,MTB,6708760,705493000,Financial Services
2005-06-30,39899,TGNA,3447600,245228000,Communication Services
2005-06-30,39911,GAP,15434243,304826000,Consumer Cyclical
2005-06-30,41499,G1,100980000,5112617000,Unknown
2005-06-30,4962,AXP,8625000,346208000,Financial Services
2005-06-30,60667,LOW,390000,22706000,Consumer Cyclical
2005-06-30,745448,LXKEUR,1000000,64830000,Unknown
2005-06-30,750556,STI1,3204600,231500000,Unknown
2005-06-30,757011,USG1,6500000,276250000,Unknown
2005-06-30,80424,PG,630000,33232000,Consumer Defensive
2005-06-30,833444,ADT2,5000000,146000000,Unknown
2005-06-30,836102,TT2,10497900,440072000,Unknown
2005-06-30,874691,OSI2,1818800,82283000,Unknown
2005-06-30,88204,SEE,1113300,55431000,Consumer Cyclical
2005-06-30,89439,MLI,851800,23084000,Industrials
2005-06-30,922812,AXP,151610700,8070237000,Financial Services
2005-06-30,931336,DFODQ,375500,13233000,Unknown
2005-06-30,932872,SJR/BEUR,22000000,456940000,Unknown
2005-09-30,1017968,EDGW,3290000,37078000,Unknown
2005-09-30,1020882,IRM,5000000,183500000,Real Estate
2005-09-30,104169,WMT,19944300,873959000,Consumer Defensive
2005-09-30,104889,GHC,1727765,1386531000,Consumer Defensive
2005-09-30,1052045,SVM1,5611600,75981000,Unknown
2005-09-30,105598,WFC,84815480,4967643000,Financial Services
2005-09-30,105729,WSC1,5703087,1951026000,Unknown
2005-09-30,1059556,DUT,48000000,2451840000,Unknown
2005-09-30,1108329,PC6A,659000,54941000,Unknown
2005-09-30,1179484,CDCO,1518978,26582000,Unknown
2005-09-30,12659,HRB,18761400,449898000,Consumer Cyclical
2005-09-30,1393231,COST,5254000,226395000,Consumer Defensive
2005-09-30,21344,KO,200000000,8638000000,Consumer Defensive
2005-09-30,22301,CMCSA,11110200,319752000,Communication Services
2005-09-30,310569,BUD1,44711000,1924361000,Unknown
2005-09-30,320187,NKE,2474600,202125000,Consumer Cyclical
2005-09-30,320335,GL,2635879,139253000,Financial Services
2005-09-30,354950,HD,5000000,190700000,Consumer Cyclical
2005-09-30,36270,MTB,6708760,709183000,Financial Services
2005-09-30,39899,TGNA,3447600,237298000,Communication Services
2005-09-30,39911,GAP,15434243,269019000,Consumer Cyclical
2005-09-30,41499,G1,100980000,5877036000,Unknown
2005-09-30,4962,AXP,8625000,345000000,Financial Services
2005-09-30,60667,LOW,390000,25116000,Consumer Cyclical
2005-09-30,745448,LXKEUR,1000000,61050000,Unknown
2005-09-30,750556,STI1,3204600,222559000,Unknown
2005-09-30,757011,USG1,6500000,446680000,Unknown
2005-09-30,80424,PG,630000,37460000,Consumer Defensive
2005-09-30,820027,A4S,30322137,1085532000,Unknown
2005-09-30,833444,ADT2,10000000,278500000,Unknown
2005-09-30,836102,TT2,10497900,488677000,Unknown
2005-09-30,874691,OSI2,1818800,66568000,Unknown
