filedFor,cik,ticker,no_shares,value,industry
2002-12-31,21344,KO,200000000,8768001000,Consumer Defensive
2002-12-31,29905,DOV,4000000,116640000,Industrials
2002-12-31,36270,MTB-PJ,6708760,532341000,Financial Services
2002-12-31,39899,TGNA,3636800,261122000,Communication Services
2002-12-31,39911,GAP,20000000,310400000,Consumer Cyclical
2002-12-31,40211,GATX,7340700,167515000,Industrials
2002-12-31,89439,MLI,2480900,67605000,Industrials
2002-12-31,104889,GHC,1727765,1275091000,Consumer Defensive
2002-12-31,320187,NKE,6000000,266820000,Consumer Cyclical
2002-12-31,320335,GL-PD,1938179,70802000,Financial Services
2002-12-31,713676,PNC,715000,29959000,Financial Services
2002-12-31,764478,BBY,542800,13109000,Consumer Cyclical
2002-12-31,929008,WCC,5703087,1767672000,Industrials
2002-12-31,1059556,MCO,25067900,1027792000,Financial Services
2002-12-31,1108329,PTCCY,217000,4356000,Communication Services
2003-03-31,4962,AXP,8539400,316043000,Financial Services
2003-03-31,8670,ADP,5735000,176581000,Technology
2003-03-31,12659,HRB,15999200,683006000,Consumer Cyclical
2003-03-31,21344,KO,200000000,8096000000,Consumer Defensive
2003-03-31,29905,DOV,4500000,108990000,Industrials
2003-03-31,36270,MTB-PJ,6708760,527175000,Financial Services
2003-03-31,39899,TGNA,3636800,256140000,Communication Services
2003-03-31,39911,GAP,20000000,289800000,Consumer Cyclical
2003-03-31,40211,GATX,7340700,106293000,Industrials
2003-03-31,89439,MLI,2480900,61948000,Industrials
2003-03-31,104889,GHC,1727765,1177230000,Consumer Defensive
2003-03-31,320187,NKE,6000000,308520000,Consumer Cyclical
2003-03-31,320335,GL-PD,1938179,69386000,Financial Services
2003-03-31,929008,WCC,5703087,1699520000,Industrials
2003-03-31,1059556,MCO,24680000,1135530000,Financial Services
2003-03-31,1108329,PTCCY,718800,14994000,Communication Services
2003-06-30,4962,AXP,8000000,331520000,Financial Services
2003-06-30,8670,ADP,5735000,194187000,Technology
2003-06-30,12659,HRB,15999200,691965000,Consumer Cyclical
2003-06-30,21344,KO,200000000,9282000000,Consumer Defensive
2003-06-30,29905,DOV,4500000,134820000,Industrials
2003-06-30,36270,MTB-PJ,6708760,565011000,Financial Services
2003-06-30,39899,TGNA,3636800,279343000,Communication Services
2003-06-30,39911,GAP,20000000,375200000,Consumer Cyclical
2003-06-30,40211,GATX,2228900,36443000,Industrials
2003-06-30,89439,MLI,2480900,67257000,Industrials
2003-06-30,104889,GHC,1727765,1246278000,Consumer Defensive
2003-06-30,320187,NKE,6000000,320940000,Consumer Cyclical
2003-06-30,320335,GL-PD,1938179,72197000,Financial Services
2003-06-30,929008,WCC,5703087,1779363000,Industrials
2003-06-30,1059556,MCO,24389700,1281057000,Financial Services
2003-06-30,1108329,PTCCY,659000,19902000,Communication Services
2003-09-30,4962,AXP,8000000,319680000,Financial Services
2003-09-30,8670,ADP,1649000,59117000,Technology
2003-09-30,12659,HRB,15999200,690365000,Consumer Cyclical
2003-09-30,21344,KO,200000000,8592000000,Consumer Defensive
2003-09-30,29905,DOV,3129300,110683000,Industrials
2003-09-30,36270,MTB-PJ,6708760,585675000,Financial Services
2003-09-30,39899,TGNA,3636800,282070000,Communication Services
2003-09-30,39911,GAP,20000000,342400000,Consumer Cyclical
2003-09-30,89439,MLI,2480900,63139000,Industrials
2003-09-30,104889,GHC,1727765,1148964000,Consumer Defensive
2003-09-30,320187,NKE,6000000,364920000,Consumer Cyclical
2003-09-30,320335,GL-PD,1938179,78768000,Financial Services
2003-09-30,929008,WCC,5703087,1938878000,Industrials
2003-09-30,1059556,MCO,24136000,1324929000,Financial Services
2003-09-30,1108329,PTCCY,659000,22110000,Communication Services
2003-12-31,4962,AXP,24000000,986160000,Financial Services
2003-12-31,8670,ADP,4247100,168228000,Technology
2003-12-31,12659,HRB,43832700,2427018000,Consumer Cyclical
2003-12-31,21344,KO,600000000,30449997000,Consumer Defensive
2003-12-31,29905,DOV,6000000,238500000,Industrials
2003-12-31,36270,MTB-PJ,20126280,1978413000,Financial Services
2003-12-31,39899,TGNA,10369800,924570000,Communication Services
2003-12-31,39911,GAP,45000000,1044450000,Consumer Cyclical
2003-12-31,89439,MLI,7340700,252225000,Industrials
2003-12-31,104889,GHC,5183295,4102059000,Consumer Defensive
2003-12-31,320187,NKE,18000000,1232280000,Consumer Cyclical
2003-12-31,320335,GL-PD,5814537,264792000,Financial Services
2003-12-31,929008,WCC,17109261,5988240000,Industrials
2003-12-31,1059556,MCO,72000000,4359600000,Financial Services
2003-12-31,1108329,PTCCY,1977000,112788000,Communication Services
2004-03-31,4962,AXP,16000000,674560000,Financial Services
2004-03-31,12659,HRB,28701200,1464622000,Consumer Cyclical
2004-03-31,21344,KO,400000000,20120002000,Consumer Defensive
2004-03-31,36270,MTB-PJ,13417520,1205564000,Financial Services
2004-03-31,39899,TGNA,6913200,609328000,Communication Services
2004-03-31,39911,GAP,30000000,657600000,Consumer Cyclical
2004-03-31,89439,MLI,4893800,166340000,Industrials
2004-03-31,104889,GHC,3455530,3056106000,Consumer Defensive
2004-03-31,320187,NKE,12000000,934440000,Consumer Cyclical
2004-03-31,320335,GL-PD,3876358,208506000,Financial Services
2004-03-31,929008,WCC,11406174,4414190000,Industrials
2004-03-31,1059556,MCO,48000000,3398400000,Financial Services
2004-03-31,1108329,PTCCY,1318000,67350000,Communication Services
2004-06-30,4962,AXP,8000000,356160000,Financial Services
2004-06-30,12659,HRB,14350600,684237000,Consumer Cyclical
2004-06-30,21344,KO,200000000,10096000000,Consumer Defensive
2004-06-30,36270,MTB-PJ,6708760,585675000,Financial Services
2004-06-30,39899,TGNA,3447600,292529000,Communication Services
2004-06-30,39911,GAP,15000000,363750000,Consumer Cyclical
2004-06-30,89439,MLI,1929800,69087000,Industrials
2004-06-30,104889,GHC,1727765,1606839000,Consumer Defensive
2004-06-30,320187,NKE,6000000,454500000,Consumer Cyclical
2004-06-30,320335,GL-PD,1938179,104274000,Financial Services
2004-06-30,929008,WCC,5703087,2064517000,Industrials
2004-06-30,1059556,MCO,24000000,1551840000,Financial Services
2004-06-30,1108329,PTCCY,659000,30511000,Communication Services
2004-09-30,4962,AXP,8000000,348000000,Financial Services
2004-09-30,12659,HRB,14350600,709207000,Consumer Cyclical
2004-09-30,21344,KO,200000000,8010000000,Consumer Defensive
2004-09-30,36270,MTB-PJ,6708760,642028000,Financial Services
2004-09-30,39899,TGNA,3447600,288771000,Communication Services
2004-09-30,39911,GAP,15000000,279750000,Consumer Cyclical
2004-09-30,89439,MLI,1361900,58494000,Industrials
2004-09-30,104889,GHC,1727765,1589544000,Consumer Defensive
2004-09-30,320187,NKE,6000000,472800000,Consumer Cyclical
2004-09-30,320335,GL-PD,2029379,107922000,Financial Services
2004-09-30,929008,WCC,5703087,2004635000,Industrials
2004-09-30,1059556,MCO,24000000,1758000000,Financial Services
2004-09-30,1108329,PTCCY,659000,35428000,Communication Services
2004-12-31,4962,AXP,8000000,340320000,Financial Services
2004-12-31,12659,HRB,14350600,703179000,Consumer Cyclical
2004-12-31,21344,KO,200000000,8328000000,Consumer Defensive
2004-12-31,36270,MTB-PJ,6708760,723473000,Financial Services
2004-12-31,39899,TGNA,3447600,281668000,Communication Services
2004-12-31,39911,GAP,15434243,325971000,Consumer Cyclical
2004-12-31,89439,MLI,1361900,43853000,Industrials
2004-12-31,104889,GHC,1727765,1698428000,Consumer Defensive
2004-12-31,320187,NKE,2500000,226725000,Consumer Cyclical
2004-12-31,320335,GL-PD,2038979,116506000,Financial Services
2004-12-31,929008,WCC,5703087,2241313000,Industrials
2004-12-31,1059556,MCO,24000000,2084400000,Financial Services
2004-12-31,1108329,PTCCY,659000,35382000,Communication Services
2005-03-31,4962,AXP,8000000,314480000,Financial Services
2005-03-31,12659,HRB,13510900,683381000,Consumer Cyclical
2005-03-31,21344,KO,200000000,8334000000,Consumer Defensive
2005-03-31,36270,MTB-PJ,6708760,684696000,Financial Services
2005-03-31,39899,TGNA,3447600,272636000,Communication Services
2005-03-31,39911,GAP,15434243,337084000,Consumer Cyclical
2005-03-31,80424,PG,630000,33390000,Consumer Defensive
2005-03-31,89439,MLI,851800,23978000,Industrials
2005-03-31,104889,GHC,1727765,1544623000,Consumer Defensive
2005-03-31,320187,NKE,2474600,206159000,Consumer Cyclical
2005-03-31,320335,GL-PD,2074879,108308000,Financial Services
2005-03-31,929008,WCC,5703087,2195574000,Industrials
2005-03-31,1059556,MCO,24000000,1940640000,Financial Services
2005-03-31,1108329,PTCCY,659000,41662000,Communication Services
2005-06-30,4962,AXP,8625000,346208000,Financial Services
2005-06-30,12659,HRB,10917400,637030000,Consumer Cyclical
2005-06-30,21344,KO,200000000,8350000000,Consumer Defensive
2005-06-30,36270,MTB-PJ,6708760,705493000,Financial Services
2005-06-30,39899,TGNA,3447600,245228000,Communication Services
2005-06-30,39911,GAP,15434243,304826000,Consumer Cyclical
2005-06-30,60667,LOW,390000,22706000,Consumer Cyclical
2005-06-30,80424,PG,630000,33232000,Consumer Defensive
2005-06-30,89439,MLI,851800,23084000,Industrials
2005-06-30,104169,WMT,15647300,754200000,Consumer Defensive
2005-06-30,104889,GHC,1727765,1442736000,Consumer Defensive
2005-06-30,320187,NKE,2474600,214300000,Consumer Cyclical
2005-06-30,320335,GL-PD,2376979,124078000,Financial Services
2005-06-30,354950,HD,945000,36760000,Consumer Cyclical
2005-06-30,833444,JCI,5000000,146000000,Industrials
2005-06-30,929008,WCC,5703087,2053111000,Industrials
2005-06-30,1059556,MCO,48000000,2158080000,Financial Services
2005-06-30,1108329,PTCCY,659000,48404000,Communication Services
2005-09-30,4962,AXP,8625000,345000000,Financial Services
2005-09-30,12659,HRB,18761400,449898000,Consumer Cyclical
2005-09-30,21344,KO,200000000,8638000000,Consumer Defensive
2005-09-30,36270,MTB-PJ,6708760,709183000,Financial Services
2005-09-30,39899,TGNA,3447600,237298000,Communication Services
2005-09-30,39911,GAP,15434243,269019000,Consumer Cyclical
2005-09-30,60667,LOW,390000,25116000,Consumer Cyclical
2005-09-30,80424,PG,630000,37460000,Consumer Defensive
2005-09-30,89439,MLI,851800,23654000,Industrials
2005-09-30,104169,WMT,19944300,873959000,Consumer Defensive
2005-09-30,104889,GHC,1727765,1386531000,Consumer Defensive
2005-09-30,320187,NKE,2474600,202125000,Consumer Cyclical
2005-09-30,320335,GL-PD,2635879,139253000,Financial Services
2005-09-30,354950,HD,5000000,190700000,Consumer Cyclical
2005-09-30,820027,AMP,30322137,1085532000,Financial Services
2005-09-30,833444,JCI,10000000,278500000,Industrials
2005-09-30,929008,WCC,5703087,1951026000,Industrials
2005-09-30,1059556,MCO,48000000,2451840000,Financial Services
2005-09-30,1108329,PTCCY,659000,54941000,Communication Services
2005-12-31,4962,AXP,20000000,860200000,Financial Services
2005-12-31,12659,HRB,37076200,910220000,Consumer Cyclical
2005-12-31,21344,KO,400000000,16124002000,Consumer Defensive
2005-12-31,36270,MTB-PJ,13417520,1463180000,Financial Services
2005-12-31,39899,TGNA,6895200,417642000,Communication Services
2005-12-31,39911,GAP,20000000,352800000,Consumer Cyclical
2005-12-31,60667,LOW,780000,51994000,Consumer Cyclical
2005-12-31,80424,PG,200000000,11575998000,Consumer Defensive
2005-12-31,89439,MLI,1569000,43022000,Industrials
2005-12-31,104169,WMT,39888600,1866786000,Consumer Defensive
2005-12-31,104889,GHC,3455530,2643482000,Consumer Defensive
2005-12-31,320187,NKE,4949200,429542000,Consumer Cyclical
2005-12-31,320335,GL-PD,5647758,314016000,Financial Services
2005-12-31,354950,HD,10000000,404800000,Consumer Cyclical
2005-12-31,820027,AMP,60644274,2486416000,Financial Services
2005-12-31,833444,JCI,20000000,577200000,Industrials
2005-12-31,929008,WCC,11406174,4391376000,Industrials
2005-12-31,1059556,MCO,96000000,5896320000,Financial Services
2005-12-31,1108329,PTCCY,1318000,108024000,Communication Services
2006-03-31,4962,AXP,10000000,468200000,Financial Services
2006-03-31,12659,HRB,16061100,347723000,Consumer Cyclical
2006-03-31,21344,KO,200000000,8373998000,Consumer Defensive
2006-03-31,36104,USB-PA,6107000,186264000,Financial Services
2006-03-31,36270,MTB-PJ,6708760,765737000,Financial Services
2006-03-31,39899,TGNA,3447600,206580000,Communication Services
2006-03-31,39911,GAP,10000000,186800000,Consumer Cyclical
2006-03-31,40545,GE,7777900,270515000,Industrials
2006-03-31,60667,LOW,390000,25132000,Consumer Cyclical
2006-03-31,80424,PG,100000000,5762999000,Consumer Defensive
2006-03-31,104169,WMT,19944300,942169000,Consumer Defensive
2006-03-31,104889,GHC,1727765,1342042000,Consumer Defensive
2006-03-31,200406,JNJ,1970000,116663000,Healthcare
2006-03-31,320187,NKE,2474600,210588000,Consumer Cyclical
2006-03-31,320335,GL-PD,2823879,161243000,Financial Services
2006-03-31,354950,HD,4181000,176856000,Consumer Cyclical
2006-03-31,820027,AMP,23922137,1077932000,Financial Services
2006-03-31,833444,JCI,10000000,268800000,Industrials
2006-03-31,929008,WCC,5703087,2275532000,Industrials
2006-03-31,1059556,MCO,48000000,3430080000,Financial Services
2006-03-31,1108329,PTCCY,659000,69162000,Communication Services
2006-06-30,4962,AXP,10000000,450400000,Financial Services
2006-06-30,12659,HRB,11386500,271682000,Consumer Cyclical
2006-06-30,21344,KO,200000000,8604001000,Consumer Defensive
2006-06-30,27419,TGT,5500000,268785000,Consumer Defensive
2006-06-30,36104,USB-PA,22134400,683510000,Financial Services
2006-06-30,36270,MTB-PJ,6708760,791096000,Financial Services
2006-06-30,39899,TGNA,3447600,192824000,Communication Services
2006-06-30,40545,GE,7777900,256360000,Industrials
2006-06-30,60667,LOW,390000,23661000,Consumer Cyclical
2006-06-30,80424,PG,100000000,5560000000,Consumer Defensive
2006-06-30,104169,WMT,19944300,960717000,Consumer Defensive
2006-06-30,104889,GHC,1727765,1347674000,Consumer Defensive
2006-06-30,200406,JNJ,24588800,1473361000,Healthcare
2006-06-30,320187,NKE,2474600,200443000,Consumer Cyclical
2006-06-30,320335,GL-PD,2823879,171466000,Financial Services
2006-06-30,354950,HD,4181000,149638000,Consumer Cyclical
2006-06-30,820027,AMP,23922137,1068602000,Financial Services
2006-06-30,833444,JCI,10000000,275000000,Industrials
2006-06-30,929008,WCC,5703087,2172876000,Industrials
2006-06-30,1059556,MCO,48000000,2614080000,Financial Services
2006-06-30,1108329,PTCCY,659000,71152000,Communication Services
2006-06-30,1121404,SNY,488500,23790000,Healthcare
2006-09-30,4962,AXP,10000000,228700000,Financial Services
2006-09-30,12659,HRB,10971000,238510000,Consumer Cyclical
2006-09-30,21344,KO,200000000,8935999000,Consumer Defensive
2006-09-30,27419,TGT,745700,41200000,Consumer Defensive
2006-09-30,36104,USB-PA,23307300,774269000,Financial Services
2006-09-30,36270,MTB-PJ,6708760,804782000,Financial Services
2006-09-30,39899,TGNA,3447600,195927000,Communication Services
2006-09-30,40545,GE,7777900,274560000,Industrials
2006-09-30,60667,LOW,7000000,196420000,Consumer Cyclical
2006-09-30,80424,PG,100000000,6197999000,Consumer Defensive
2006-09-30,100885,UNP,3155100,277649000,Industrials
2006-09-30,104169,WMT,19944300,983653000,Consumer Defensive
2006-09-30,104889,GHC,1727765,1273363000,Consumer Defensive
2006-09-30,200406,JNJ,24588800,1596797000,Healthcare
2006-09-30,320187,NKE,4000000,350480000,Consumer Cyclical
2006-09-30,320335,GL-PD,2823879,178214000,Financial Services
2006-09-30,354950,HD,4181000,151645000,Consumer Cyclical
2006-09-30,702165,NSC,3221800,141920000,Industrials
2006-09-30,820027,AMP,19256537,903131000,Financial Services
2006-09-30,833444,JCI,10000000,279900000,Industrials
2006-09-30,929008,WCC,5703087,2492249000,Industrials
2006-09-30,1059556,MCO,48000000,3138240000,Financial Services
2006-09-30,1108329,PTCCY,659000,70942000,Communication Services
2006-09-30,1121404,SNY,488500,21724000,Healthcare
2006-09-30,1365135,WU,10000000,191300000,Financial Services
2006-12-31,4962,AXP,10000000,255200000,Financial Services
2006-12-31,12659,HRB,4113400,94773000,Consumer Cyclical
2006-12-31,21344,KO,200000000,9649999000,Consumer Defensive
2006-12-31,39899,TGNA,3447600,208442000,Communication Services
2006-12-31,40545,GE,7777900,289416000,Industrials
2006-12-31,100885,UNP,8211200,755595000,Industrials
2006-12-31,702165,NSC,3954700,198882000,Industrials
2006-12-31,820027,AMP,8270637,450749000,Financial Services
2007-03-31,4962,AXP,10000000,269000000,Financial Services
2007-03-31,12659,HRB,1246800,26233000,Consumer Cyclical
2007-03-31,21344,KO,200000000,9600001000,Consumer Defensive
2007-03-31,36104,USB-PA,23307300,815056000,Financial Services
2007-03-31,36270,MTB-PJ,6708760,777075000,Financial Services
2007-03-31,39899,TGNA,3447600,194065000,Communication Services
2007-03-31,40545,GE,7777900,275027000,Industrials
2007-03-31,60667,LOW,7000000,220430000,Consumer Cyclical
2007-03-31,80424,PG,100000000,6316000000,Consumer Defensive
2007-03-31,100885,UNP,10513100,1067605000,Industrials
2007-03-31,104169,WMT,19944300,936385000,Consumer Defensive
2007-03-31,104889,GHC,1727765,1319148000,Consumer Defensive
2007-03-31,200406,JNJ,48665600,2932589000,Healthcare
2007-03-31,320187,NKE,4000000,425040000,Consumer Cyclical
2007-03-31,320335,GL-PD,2823879,185219000,Financial Services
2007-03-31,354950,HD,4181000,153610000,Consumer Cyclical
2007-03-31,702165,NSC,6362800,321958000,Industrials
2007-03-31,731766,UNH,1021400,54104000,Healthcare
2007-03-31,820027,AMP,4281462,244644000,Financial Services
2007-03-31,833444,JCI,10000000,315500000,Industrials
2007-03-31,929008,WCC,5703087,2623420000,Industrials
2007-03-31,1059556,MCO,48000000,2978880000,Financial Services
2007-03-31,1108329,PTCCY,659000,77162000,Communication Services
2007-03-31,1121404,SNY,828500,36048000,Healthcare
2007-03-31,1156039,ELV,979700,79454000,Healthcare
2007-03-31,1365135,WU,9868000,216603000,Financial Services
2007-06-30,4962,AXP,10000000,326700000,Financial Services
2007-06-30,21344,KO,200000000,10462001000,Consumer Defensive
2007-06-30,36104,USB-PA,37085326,1221962000,Financial Services
2007-06-30,36270,MTB-PJ,6708760,717166000,Financial Services
2007-06-30,39899,TGNA,3447600,189446000,Communication Services
2007-06-30,40545,GE,7777900,297738000,Industrials
2007-06-30,60667,LOW,7000000,214830000,Consumer Cyclical
2007-06-30,70858,BAC-PQ,8700000,425343000,Financial Services
2007-06-30,80424,PG,105246800,6440052000,Consumer Defensive
2007-06-30,100885,UNP,7411200,853400000,Industrials
2007-06-30,104169,WMT,19944300,959520000,Consumer Defensive
2007-06-30,104889,GHC,1727765,1340901000,Consumer Defensive
2007-06-30,200406,JNJ,53145848,3274846000,Healthcare
2007-06-30,320187,NKE,8000000,466320000,Consumer Cyclical
2007-06-30,320335,GL-PD,2823879,189200000,Financial Services
2007-06-30,354950,HD,4181000,164522000,Consumer Cyclical
2007-06-30,702165,NSC,3757100,197511000,Industrials
2007-06-30,731766,UNH,4800000,245472000,Healthcare
2007-06-30,820027,AMP,2517562,160042000,Financial Services
2007-06-30,833444,JCI,6310200,213222000,Industrials
2007-06-30,929008,WCC,5703087,2195688000,Industrials
2007-06-30,1059556,MCO,48000000,2985600000,Financial Services
2007-06-30,1103982,MDLZ,69583800,2452829000,Consumer Defensive
2007-06-30,1108329,PTCCY,659000,97980000,Communication Services
2007-06-30,1121404,SNY,3530685,142181000,Healthcare
2007-06-30,1156039,ELV,4200000,335286000,Healthcare
2007-06-30,1365135,WU,3200000,66656000,Financial Services
2007-09-30,21344,KO,200000000,11493803000,Consumer Defensive
2007-09-30,36104,USB-PA,65490326,2130401000,Financial Services
2007-09-30,36270,MTB-PJ,6708760,694022000,Financial Services
2007-09-30,39899,TGNA,3447600,150660000,Communication Services
2007-09-30,40545,GE,7777900,322005000,Industrials
2007-09-30,60667,LOW,7000000,196140000,Consumer Cyclical
2007-09-30,70858,BAC-PQ,9100000,457457000,Financial Services
2007-09-30,80424,PG,105847000,7445278000,Consumer Defensive
2007-09-30,100885,UNP,4453000,503456000,Industrials
2007-09-30,104169,WMT,19944300,870569000,Consumer Defensive
2007-09-30,104889,GHC,1727765,1387050000,Consumer Defensive
2007-09-30,200406,JNJ,61607348,4047602000,Healthcare
2007-09-30,320187,NKE,7641000,448221000,Consumer Cyclical
2007-09-30,320335,GL-PD,2823879,175984000,Financial Services
2007-09-30,354950,HD,4181000,135632000,Consumer Cyclical
2007-09-30,702165,NSC,1933000,100342000,Industrials
2007-09-30,731766,UNH,6000000,290580000,Healthcare
2007-09-30,820027,AMP,1448662,91425000,Financial Services
2007-09-30,929008,WCC,5703087,2269829000,Industrials
2007-09-30,1059556,MCO,48000000,2419200000,Financial Services
2007-09-30,1103982,MDLZ,107200900,3699503000,Consumer Defensive
2007-09-30,1121404,SNY,3530685,149772000,Healthcare
2007-09-30,1156039,ELV,4500000,355140000,Healthcare
2007-09-30,1170010,KMX,13981800,284250000,Consumer Cyclical
2007-12-31,21344,KO,200000000,12274000000,Consumer Defensive
2007-12-31,36104,USB-PA,67581926,2145051000,Financial Services
2007-12-31,36270,MTB-PJ,6708760,547233000,Financial Services
2007-12-31,39899,TGNA,3447600,134456000,Communication Services
2007-12-31,40545,GE,7777900,288321000,Industrials
2007-12-31,60667,LOW,7000000,158340000,Consumer Cyclical
2007-12-31,70858,BAC-PQ,9100000,375466000,Financial Services
2007-12-31,80424,PG,105847000,7771286000,Consumer Defensive
2007-12-31,100885,UNP,4453000,559386000,Industrials
2007-12-31,104169,WMT,19944300,947952000,Consumer Defensive
2007-12-31,104889,GHC,1727765,1367399000,Consumer Defensive
2007-12-31,200406,JNJ,61754448,4119021000,Healthcare
2007-12-31,320187,NKE,7641000,490858000,Consumer Cyclical
2007-12-31,320335,GL-PD,2823879,170929000,Financial Services
2007-12-31,354950,HD,4181000,112636000,Consumer Cyclical
2007-12-31,702165,NSC,1933000,97500000,Industrials
2007-12-31,731766,UNH,6000000,349200000,Healthcare
2007-12-31,820027,AMP,661742,36469000,Financial Services
2007-12-31,929008,WCC,5703087,2281235000,Industrials
2007-12-31,1059556,MCO,48000000,1713600000,Financial Services
2007-12-31,1103982,MDLZ,132393800,4320009000,Consumer Defensive
2007-12-31,1121404,SNY,3569905,162537000,Healthcare
2007-12-31,1131399,GSK,1510500,76114000,Healthcare
2007-12-31,1156039,ELV,4500000,394785000,Healthcare
2007-12-31,1170010,KMX,21000000,414750000,Consumer Cyclical
2008-03-31,21344,KO,200000000,12174000000,Consumer Defensive
2008-03-31,36104,USB-PA,68631026,2220899000,Financial Services
2008-03-31,36270,MTB-PJ,6715060,540428000,Financial Services
2008-03-31,39899,TGNA,3447600,100153000,Communication Services
2008-03-31,40545,GE,7777900,287860000,Industrials
2008-03-31,60667,LOW,7000000,160580000,Consumer Cyclical
2008-03-31,70858,BAC-PQ,9100000,344981000,Financial Services
2008-03-31,80424,PG,105847000,7416700000,Consumer Defensive
2008-03-31,100885,UNP,4453000,558317000,Industrials
2008-03-31,104169,WMT,19944300,1050665000,Consumer Defensive
2008-03-31,104889,GHC,1727765,1142917000,Consumer Defensive
2008-03-31,200406,JNJ,61754448,4006011000,Healthcare
2008-03-31,320187,NKE,7641000,519588000,Consumer Cyclical
2008-03-31,320335,GL-PD,2823879,169743000,Financial Services
2008-03-31,354950,HD,4181000,116943000,Consumer Cyclical
2008-03-31,702165,NSC,1933000,105001000,Industrials
2008-03-31,731766,UNH,6400000,219904000,Healthcare
2008-03-31,929008,WCC,5703087,2304047000,Industrials
2008-03-31,1059556,MCO,48000000,1671840000,Financial Services
2008-03-31,1103982,MDLZ,138272500,4287830000,Consumer Defensive
2008-03-31,1121404,SNY,3586733,134646000,Healthcare
2008-03-31,1131399,GSK,1510500,64091000,Healthcare
2008-03-31,1156039,ELV,4800000,211824000,Healthcare
2008-03-31,1170010,KMX,21300000,413646000,Consumer Cyclical
2008-06-30,21344,KO,200000000,10396000000,Consumer Defensive
2008-06-30,36104,USB-PA,68631026,1914120000,Financial Services
2008-06-30,36270,MTB-PJ,6715060,473680000,Financial Services
2008-06-30,39899,TGNA,3447600,74709000,Communication Services
2008-06-30,40545,GE,7777900,207592000,Industrials
2008-06-30,60667,LOW,7000000,145250000,Consumer Cyclical
2008-06-30,70858,BAC-PQ,9100000,217217000,Financial Services
2008-06-30,80424,PG,105847000,6436556000,Consumer Defensive
2008-06-30,100885,UNP,8906000,672403000,Industrials
2008-06-30,104169,WMT,19944300,1120869000,Consumer Defensive
2008-06-30,104889,GHC,1727765,1014025000,Consumer Defensive
2008-06-30,200406,JNJ,61754448,3973281000,Healthcare
2008-06-30,320187,NKE,7641000,455480000,Consumer Cyclical
2008-06-30,320335,GL-PD,2823879,165620000,Financial Services
2008-06-30,354950,HD,4181000,97919000,Consumer Cyclical
2008-06-30,702165,NSC,1933000,121141000,Industrials
2008-06-30,731766,UNH,6400000,168000000,Healthcare
