filedFor,year_quarter,Communication Services_w,Consumer Cyclical_w,Consumer Defensive_w,Energy_w,Financial Services_w,Healthcare_w,Industrials_w,Technology_w,Utilities_w,Communication Services_logp,Consumer Cyclical_logp,Consumer Defensive_logp,Energy_logp,Financial Services_logp,Healthcare_logp,Industrials_logp,Technology_logp,Utilities_logp,portfolio_value
2005-06-30,2005Q2,1.6640639221067202,6.889142576828192,59.959663315401635,0.0,18.89356229324729,0.0,12.593567892416162,0.0,0.0,4.796534040523403,5.558332777110733,5.456346254223955,5.837934529325819,5.9823986120488435,5.885770656116809,5.60906883726267,5.736314242985138,5.076672725638416,17645476000
2005-09-30,2005Q3,1.510354392350833,5.875528159414668,56.51935613326453,0.0,24.449839488119174,0.0,11.644921826850796,0.0,0.0,4.776767789701273,5.546777740128277,5.4825953467167015,6.001315842005465,5.983180358291727,5.896521769590768,5.6282324858571515,5.7924036290704635,5.138324612262206,19349035000
2005-12-31,2005Q4,1.0323974183878004,4.221291819513397,63.260316491420745,0.0,21.64331691053404,0.0,9.842677360144014,0.0,0.0,4.765842413975779,5.554470128160384,5.481346998301677,5.9682982597063,6.0553778585375735,5.927832272106348,5.671947772139333,5.832673920647911,5.093197923557418,50917020000
2006-03-31,2006Q1,1.0340965493550256,3.5518412421669368,61.583344318388725,0.0,22.836874458911797,0.4375133484830216,10.556330082694496,0.0,0.0,4.891401201588273,5.581012008687198,5.491084198820473,6.003343706622339,6.080962441457248,5.915285210249134,5.735055014016577,5.84081605367302,5.052416789086174,26665015000
2006-06-30,2006Q2,0.9553576514710695,2.3358591570561855,60.58812748727721,0.0,20.91538243222732,5.418351150322618,9.786922121645604,0.0,0.0,4.877103901471733,5.573711767563356,5.513912480425678,6.041087712101386,6.073344039665362,5.85990264930154,5.730424425412799,5.737926262479704,5.098646190049969,27631118000
2006-09-30,2006Q3,0.8913587378149982,3.1298208561625107,58.22465804706033,0.0,20.770623548973127,5.405958862539556,11.577579947449484,0.0,0.0,4.969049114533534,5.619820974199119,5.563562093880882,5.991314541961288,6.143820731875084,5.95303555537268,5.7245323934729395,5.834576830842404,5.165128758358181,29939573000
2006-12-31,2006Q4,1.751163734758536,0.7962072933203036,81.07160883725994,0.0,5.930821462992361,0.0,10.450198671668856,0.0,0.0,5.044392351554939,5.713468788573279,5.592515675871328,6.064436156726807,6.205183824245303,5.973529711755427,5.776506170922134,5.896576801564275,5.229984955227814,11903056000
2007-03-31,2007Q1,0.8355664231360345,2.5425338604846495,55.98087088407436,0.0,16.902137185855835,9.556902447103312,14.181989199345807,0.0,0.0,5.106066704566762,5.70354908967665,5.60829891963446,6.158164717832639,6.170175403607245,5.969091102527061,5.7823163824037564,5.884602881552337,5.326953401221941,32460256000
2007-06-30,2007Q2,0.7845363904884359,2.308282682906684,59.10868623768691,0.0,16.630091034564682,10.91205323752483,10.25635041682846,0.0,0.0,5.171676503682149,5.737249459943504,5.629202605068625,6.294065974658426,6.1849939021903735,6.013739629497909,5.870708345972182,5.977061313701207,5.318267035872698,36636414000
2007-09-30,2007Q3,0.3755391458181911,2.6527605679210753,62.05694151557339,0.0,14.87721532513786,12.072025646337492,7.965517799211987,0.0,0.0,5.191121824753271,5.683069453829514,5.668120720368221,6.356853897254239,6.1550279024691985,6.031598316574446,5.937483462230671,6.024826804424126,5.331268451923534,40118321000
2007-12-31,2007Q4,0.3254920720617215,2.848283186430271,64.58870374312252,0.0,12.076797788970138,12.350128725220042,7.810594484195311,0.0,0.0,5.125510369475787,5.558872298156878,5.702281307778702,6.4019834930823425,5.9714658663538565,6.015425214347873,5.870285142480805,6.020100581781886,5.375787540139199,41308533000
2008-03-31,2008Q1,0.2489967459598722,3.01014001725497,64.81953659202756,0.0,12.3012666456735,11.527037999071863,8.093022000012231,0.0,0.0,4.968353855147478,5.494377479553683,5.674078999474445,6.323731569220806,5.8128162283829585,5.888296095302036,5.824553662862312,5.853236385774826,5.262897386537107,40222614000
2008-06-30,2008Q2,0.2058739197571476,2.7581467131035087,63.10860552653904,0.0,12.1904481875426,12.583994776337493,8.770128674988904,0.0,0.3828022017313096,4.916031580587534,5.4097245968824605,5.613018615798221,6.480044561926653,5.60193434706483,5.870821198687071,5.712577002170785,5.875913411075747,5.331461991710737,36288715000
2008-09-30,2008Q3,0.1498892201963119,2.6203501888752267,63.34359222233863,0.0,13.375546426925505,12.489423694344156,7.703031709312767,0.0,0.3181665380074033,4.744845149483041,5.3992932838880385,5.653541215432804,6.193077992344528,5.600937284305436,5.870764730880892,5.6169528549403305,5.738087282279983,5.123963979403259,38894725000
2008-12-31,2008Q4,0.0943085164238755,2.577220162703305,70.14141285243069,0.0,11.064675481902295,7.736300517724041,7.811717240766897,0.0,0.5743652280489072,4.715816678754136,5.132321833969698,5.508010884984633,5.956743710177485,5.128655298924384,5.734667270073004,5.3337328041702605,5.445918060081674,4.996739139392761,29245503000
2009-03-31,2009Q1,0.0295317180580206,2.7774337493769043,70.3298624771937,0.0,9.814509273757626,8.337853288994355,8.217433182492508,0.0,0.4933763101268797,4.627322969734951,5.042263199084529,5.38802096915928,5.828003976392832,4.779207541144356,5.6455882606012775,5.08821346639441,5.484755461647988,4.870529954754412,25684249000
2009-06-30,2009Q2,0.0431465486476985,2.521573624880793,68.70270022796016,0.2094122015410763,10.56781951758036,9.163127326909354,8.136987557612281,0.0,0.6552329948682669,4.646120175246358,5.204830489946389,5.4730266595890775,5.923827888596244,5.079912535411032,5.72505464976542,5.253790566066715,5.661674948926651,4.955122541153201,28526036000
2009-09-30,2009Q3,0.1341321112193398,2.774303883919075,70.33989734441496,0.272335240398431,9.139413549492255,8.649743796440394,8.16414506134828,0.0,0.5260290127672598,4.684812822094692,5.377498144686424,5.572876214084614,6.014472809192214,5.304199993299895,5.81042220107183,5.4463924767182,5.816068932200594,5.00347634771884,64308240000
2009-12-31,2009Q4,0.1029332336200091,2.9292740441936505,73.36747129779661,0.0905320184268208,9.620865894392008,6.915603750328915,6.5274425672655765,0.0,0.4458771939764087,4.7417967781958446,5.459883373287034,5.614222353441073,6.063668951248651,5.26672348865743,5.89225176540645,5.49302031283694,5.915420062734056,5.062531774653818,63542160000
2010-03-31,2010Q1,0.092802884368781,3.235999035849403,71.56567268791648,0.0911985491386414,10.925326006890636,6.130277895717758,7.553926888087094,0.0,0.4047960520312062,4.68351916650798,5.5556304430699175,5.663411784126078,6.064505873501199,5.369474560864365,5.920720122929389,5.610387127056648,5.931953406551048,5.0152910853819,30978563000
2010-06-30,2010Q2,0.0807313605043669,3.0330748705132597,69.75224012809763,0.0829647075675,9.731475514847672,9.449174242325808,6.739314321782644,0.6924203061291556,0.4386045482319732,4.625364902245851,5.4368176730207205,5.570784328967161,5.922543062407476,5.223809311085152,5.789593146006942,5.4734883911379555,5.798880488548207,4.965916846317278,29014747000
2010-09-30,2010Q3,0.0684477907665882,1.404876191926795,71.82768948071015,0.083820644211323,9.39209626931078,9.570633630426055,6.975519084657853,0.676916907990449,0.0,4.800243434239934,5.574167208861058,5.663897502846042,6.03851507759579,5.263622358837189,5.868590448957447,5.6014544205992784,5.907702391181965,5.071228512233326,62187544000
2010-12-31,2010Q4,0.0802930347198884,0.0,74.21539624750227,0.0943030379600456,10.108266259652938,8.642490309569398,6.859251110595461,0.0,0.0,4.857794909293135,5.688804220388399,5.715645122967424,6.228017785332109,5.369567707969396,5.899294428789442,5.707508840181511,6.002775308079503,5.071040260969231,32705203000
2011-03-31,2011Q1,0.0807878214736675,0.0,73.41194580107707,0.1081661874741384,10.846789206851907,8.311193444676695,7.241117538446533,0.0,0.0,4.892227063045954,5.731397621898267,5.732855741903979,6.378952356842662,5.396849653031689,5.948034989180646,5.786283658700077,6.0345958847603045,5.087102374790709,32806925000
2011-06-30,2011Q2,0.0785990867177226,0.0,77.87776346992638,0.1082661416802787,11.58105500854229,9.662215378340267,0.6921009147930703,0.0,0.0,4.900373872578711,5.76170545706936,5.776599148587745,6.326972072067101,5.3320905530516685,6.018422865865544,5.774116622878518,6.018374221327033,5.135974884890055,31705203000
2011-09-30,2011Q3,0.0539242894392088,0.0,78.48202670006695,0.0996123134931357,10.966104500096408,9.009479346418363,0.7412443751640018,0.6476084753219313,0.0,4.804103026095894,5.618696511156143,5.725902647880344,6.093095636318211,5.069218637382565,5.90734900310645,5.531886364017144,5.9353967212938,5.14031764691795,61508460000
2011-12-31,2011Q4,0.0713149602676638,0.0,78.2683635256422,0.0,11.943930202494087,8.011278105265074,0.8507129641660026,0.854400242164971,0.0,4.866148932023583,5.748468965040323,5.815741199808434,6.282565717423287,5.1660993723383095,5.997968315062957,5.678362101483062,6.015986395547721,5.186715217263315,32625693000
2012-03-31,2012Q1,0.0826130688384003,0.7358492953102646,75.62998525346536,0.0,13.50030141133026,8.60278398898653,0.8237811344937146,0.6246858475754598,0.0,4.873057640449997,5.878911598437154,5.86329022226083,6.2757408631709595,5.360305732330494,6.077389951545485,5.7810521289797006,6.210499694892221,5.185316654795577,34857681000
2012-06-30,2012Q2,0.1471842894407703,0.0,90.82673944769202,0.0,2.359249209689726,6.666827053177488,0.0,0.0,0.0,4.991384510356018,5.848661704292398,5.879415060367355,6.242301040693907,5.279185548449772,6.084544945099329,5.737700712526218,6.1471426417348605,5.239628402561581,17416261000
2012-09-30,2012Q3,0.1813617390200524,0.0,89.08091244171827,0.0,2.6076012228251693,6.203547301512408,1.926577294924108,0.0,0.0,5.054524552405969,5.926579286175616,5.920237037819614,6.31579188610481,5.352095086688388,6.14857510173714,5.771628013947063,6.206656585860848,5.231910401737476,17031707000
2012-12-31,2012Q4,0.1856328622405392,0.0,85.88081496036689,0.0,2.988604978102169,8.908416935838858,2.036530263451542,0.0,0.0,4.974731786145223,5.921980467220662,5.880421224443493,6.26862268672843,5.391853248718454,6.130030148515686,5.786928085697856,6.1327904858479725,5.17076806293567,16883864000
2013-03-31,2013Q1,0.0,0.0,85.93305254219676,0.0,2.8161243045829476,9.433489963533702,1.8173331896865887,0.0,0.0,5.080720897869348,6.035505379045752,6.0171322789844455,6.34586441356437,5.4981103867604,6.2813317304651,5.880281568379149,6.1640934379094094,5.2977172109047235,18823956000
