filedFor,nameOfIssuer,ticker,no_shares,value
2014-06-30,INTERNATIONAL BUSINESS MACHS,IBM,70173978,12720437000
2014-06-30,JOHNSON & JOHNSON,JNJ,327100,34221000
2014-06-30,KRAFT FOODS GROUP INC,KRFT,192666,11550000
2014-06-30,LEE ENTERPRISES INC,LEE,88863,395000
2014-06-30,LIBERTY GLOBAL PLC,LBTYA,9866546,436299000
2014-06-30,LIBERTY GLOBAL PLC,LBTYK,7346968,310850000
2014-06-30,LIBERTY MEDIA CORP DELAWARE,FWONA,4000000,546720000
2014-06-30,M & T BK CORP,MTB,5382040,667642000
2014-06-30,MASTERCARD INC,MA,4050000,297554000
2014-06-30,MEDIA GEN INC,MEG1,4646220,95387000
2014-06-30,MONDELEZ INTL INC,MDLZ,578000,21739000
2014-06-30,MOODYS CORP,MCO,24669778,2162553000
2014-06-30,NATIONAL OILWELL VARCO INC,NOV,7302278,601342000
2014-06-30,NOW INC,DNOW,1825569,66104000
2014-06-30,PHILLIPS 66,PSX,6495800,522457000
2014-06-30,PRECISION CASTPARTS CORP,PCP,1876622,473659000
2014-06-30,PROCTER & GAMBLE CO,PG,52793078,4149008000
2014-06-30,TORCHMARK CORP,GL,4235818,346998000
2014-06-30,U S G CORP,USG,39002016,1175131000
2014-06-30,UNITED PARCEL SERVICE INC,UPS,59400,6098000
2014-06-30,US BANCORP DEL,USB,80094497,3469692000
2014-06-30,VERISIGN INC,VRSN,12985000,633798000
2014-06-30,VERISK ANALYTICS INC,VRSK,1563434,93837000
2014-06-30,VERIZON COMMUNICATIONS INC,VZ,15000928,733996000
2014-06-30,VIACOM INC NEW,VIAB,7607200,659772000
2014-06-30,VISA INC,V,1799749,379225000
2014-06-30,WABCO HLDGS INC,WBC,4076325,435433000
2014-06-30,WAL MART STORES INC,WMT,58797259,4413910000
2014-06-30,WELLS FARGO & CO NEW,WFC,463458123,24359359000
2014-09-30,AMERICAN EXPRESS CO,AXP,151610700,13272002000
2014-09-30,BANK OF NEW YORK MELLON CORP,BK,23377603,905413000
2014-09-30,CHARTER COMMUNICATIONS INC D,CHTR,4950096,749296000
2014-09-30,CHICAGO BRIDGE & IRON CO N V,CBI,10701110,619059000
2014-09-30,COCA COLA CO,KO,400000000,17064001000
2014-09-30,CONOCOPHILLIPS,COP,471994,36117000
2014-09-30,COSTCO WHSL CORP NEW,COST,4333363,543057000
2014-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,37621152,2751611000
2014-09-30,DEERE & CO,DE,7567397,620451
2014-09-30,DIRECTV,DTV1,30000000,2595600000
2014-09-30,EXPRESS SCRIPTS HLDG CO,ESRX,449489,31747000
2014-09-30,EXXON MOBIL CORP,XOM,41129643,3868243000
2014-09-30,GENERAL ELECTRIC CO,GE,10585502,271200000
2014-09-30,GENERAL MTRS CO,GM,40000000,1277600000
2014-09-30,GOLDMAN SACHS GROUP INC,GS,12631531,2318769000
2014-09-30,GRAHAM HLDGS CO,GHC,107575,75259000
2014-09-30,INTERNATIONAL BUSINESS MACHS,IBM,70478012,13378840000
2014-09-30,JOHNSON & JOHNSON,JNJ,327100,34866000
2014-09-30,KRAFT FOODS GROUP INC,KRFT,192666,10866000
2014-09-30,LEE ENTERPRISES INC,LEE,88863,300000
2014-09-30,LIBERTY GLOBAL PLC,LBTYA,10401007,442459000
2014-09-30,LIBERTY GLOBAL PLC,LBTYK,7346968,301336000
2014-09-30,LIBERTY MEDIA CORP DELAWARE,FWONA,4000000,188720000
2014-09-30,LIBERTY MEDIA CORP DELAWARE,FWONK,8000000,375920000
2014-09-30,M & T BK CORP,MTB,5382040,663552000
2014-09-30,MASTERCARD INC,MA,4715400,348562000
2014-09-30,MEDIA GEN INC,MEG1,4646220,60912000
2014-09-30,MONDELEZ INTL INC,MDLZ,578000,19805000
2014-09-30,MOODYS CORP,MCO,24669778,2331294000
2014-09-30,NATIONAL OILWELL VARCO INC,NOV,6382360,485698000
2014-09-30,NOW INC,DNOW,1825569,55515000
2014-09-30,PHILLIPS 66,PSX,6202400,504317000
2014-09-30,PRECISION CASTPARTS CORP,PCP,2082222,493237000
2014-09-30,PROCTER & GAMBLE CO,PG,52793078,4420893000
2014-09-30,TORCHMARK CORP,GL,6353727,332745000
2014-09-30,U S G CORP,USG,39002016,1072166000
2014-09-30,UNITED PARCEL SERVICE INC,UPS,59400,5838000
2014-09-30,US BANCORP DEL,USB,80094497,3350353000
2014-09-30,VERISIGN INC,VRSN,12985000,715733000
2014-09-30,VERISK ANALYTICS INC,VRSK,1563434,95197000
2014-09-30,VERIZON COMMUNICATIONS INC,VZ,15000928,749897000
2014-09-30,VIACOM INC NEW,VIAB,7708200,593069000
2014-09-30,VISA INC,V,2146290,457954000
2014-09-30,WABCO HLDGS INC,WBC,4076325,370742000
2014-09-30,WAL MART STORES INC,WMT,60385293,4617663000
2014-09-30,WELLS FARGO & CO NEW,WFC,463458123,24039574000
2014-12-31,AMERICAN EXPRESS CO,AXP,151610700,14105859000
2014-12-31,BANK OF NEW YORK MELLON CORP,BK,22012603,893050000
2014-12-31,CHARTER COMMUNICATIONS INC D,CHTR,6198237,1032751000
2014-12-31,CHICAGO BRIDGE & IRON CO N V,CBI,10701110,449233000
2014-12-31,COCA COLA CO,KO,400000000,16887999000
2014-12-31,COSTCO WHSL CORP NEW,COST,4333363,614254000
2014-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2920956000
2014-12-31,DEERE & CO,DE,17096886,1512562000
2014-12-31,DIRECTV,DTV1,31353468,2718346000
2014-12-31,GENERAL ELECTRIC CO,GE,10585502,267496000
2014-12-31,GENERAL MTRS CO,GM,41000000,1431311000
2014-12-31,GOLDMAN SACHS GROUP INC,GS,12631531,2448370000
2014-12-31,GRAHAM HLDGS CO,GHC,107575,92914000
2014-12-31,INTERNATIONAL BUSINESS MACHS,IBM,76971817,12349358000
2014-12-31,JOHNSON & JOHNSON,JNJ,327100,34205000
2014-12-31,KRAFT FOODS GROUP INC,KRFT,192666,12072000
2014-12-31,LEE ENTERPRISES INC,LEE,88863,327000
2014-12-31,LIBERTY GLOBAL PLC,LBTYA,10816324,543034000
2014-12-31,LIBERTY GLOBAL PLC,LBTYK,7346968,354932000
2014-12-31,LIBERTY MEDIA CORP DELAWARE,FWONA,4000000,141080000
2014-12-31,LIBERTY MEDIA CORP DELAWARE,FWONK,8000000,280240000
2014-12-31,M & T BK CORP,MTB,5382040,676093000
2014-12-31,MASTERCARD INC,MA,5399756,465243000
2014-12-31,MEDIA GEN INC NEW,MEG1,4646220,77731000
2014-12-31,MONDELEZ INTL INC,MDLZ,578000,20996000
2014-12-31,MOODYS CORP,MCO,24669778,2363611000
2014-12-31,NATIONAL OILWELL VARCO INC,NOV,5258385,344582000
2014-12-31,NOW INC,DNOW,1825569,46972000
2014-12-31,PHILLIPS 66,PSX,6567600,470897000
2014-12-31,PRECISION CASTPARTS CORP,PCP,2853688,687396000
2014-12-31,PROCTER & GAMBLE CO,PG,52793078,4808922000
2014-12-31,RESTAURANT BRANDS INTL INC,QSR,8438225,329428000
2014-12-31,TORCHMARK CORP,GL,6353727,344181000
2014-12-31,TWENTY FIRST CENTY FOX INC,TFCFA,4747397,182324000
2014-12-31,U S G CORP,USG,39002016,1091666000
2014-12-31,UNITED PARCEL SERVICE INC,UPS,59400,6603000
2014-12-31,US BANCORP DEL,USB,80094497,3600249000
2014-12-31,VERISIGN INC,VRSN,12985000,740145000
2014-12-31,VERISK ANALYTICS INC,VRSK,1563434,100138000
2014-12-31,VERIZON COMMUNICATIONS INC,VZ,15000928,701743000
2014-12-31,VIACOM INC NEW,VIAB,8634190,649723000
2014-12-31,VISA INC,V,2509290,657936000
2014-12-31,WABCO HLDGS INC,WBC,4076325,427117000
2014-12-31,WAL MART STORES INC,WMT,60385293,5185887000
2014-12-31,WELLS FARGO & CO NEW,WFC,463458123,25406775000
2015-03-31,AMERICAN EXPRESS CO,AXP,151610700,11843828000
2015-03-31,BANK OF NEW YORK MELLON CORP,BK,20680420,832180000
2015-03-31,CHARTER COMMUNICATIONS INC D,CHTR,5979136,1154631000
2015-03-31,CHICAGO BRIDGE & IRON CO N V,CBI,10701110,527137000
2015-03-31,COCA COLA CO,KO,400000000,16220000000
2015-03-31,COSTCO WHSL CORP NEW,COST,4333363,656483000
2015-03-31,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,3134610000
2015-03-31,DEERE & CO,DE,17310090,1517922000
2015-03-31,DIRECTV,DTV1,31353468,2668181000
2015-03-31,GENERAL ELECTRIC CO,GE,10585502,262628000
2015-03-31,GENERAL MTRS CO,GM,41000000,1537501000
2015-03-31,GOLDMAN SACHS GROUP INC,GS,12631531,2374349000
2015-03-31,GRAHAM HLDGS CO,GHC,107575,112914000
2015-03-31,INTERNATIONAL BUSINESS MACHS,IBM,79565115,12770201000
2015-03-31,JOHNSON & JOHNSON,JNJ,327100,32906000
2015-03-31,KRAFT FOODS GROUP INC,KRFT,192666,16784000
2015-03-31,LEE ENTERPRISES INC,LEE,88863,282000
2015-03-31,LIBERTY GLOBAL PLC,LBTYA,10342793,532344000
2015-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,365952000
2015-03-31,LIBERTY MEDIA CORP DELAWARE,FWONA,4000000,154200000
2015-03-31,LIBERTY MEDIA CORP DELAWARE,FWONK,8000000,305600000
2015-03-31,M & T BK CORP,MTB,5382040,683519000
2015-03-31,MASTERCARD INC,MA,5229756,451799000
2015-03-31,MEDIA GEN INC NEW,MEG1,4646220,76616000
2015-03-31,MONDELEZ INTL INC,MDLZ,578000,20860000
2015-03-31,MOODYS CORP,MCO,24669778,2560723000
2015-03-31,NATIONAL OILWELL VARCO INC,NOV,1978895,98925000
2015-03-31,NOW INC,DNOW,1825569,39506000
2015-03-31,PHILLIPS 66,PSX,7499450,589457000
2015-03-31,PRECISION CASTPARTS CORP,PCP,4200792,882166000
2015-03-31,PROCTER & GAMBLE CO,PG,52793078,4325865000
2015-03-31,RESTAURANT BRANDS INTL INC,QSR,8438225,324112000
2015-03-31,TORCHMARK CORP,GL,6353727,348947000
2015-03-31,TWENTY FIRST CENTY FOX INC,TFCFA,6228097,210759000
2015-03-31,U S G CORP,USG,39002016,1041354000
2015-03-31,UNITED PARCEL SERVICE INC,UPS,59400,5758000
2015-03-31,US BANCORP DEL,USB,83773390,3658385000
2015-03-31,VERISIGN INC,VRSN,12985000,869605000
2015-03-31,VERISK ANALYTICS INC,VRSK,1563434,111629000
2015-03-31,VERIZON COMMUNICATIONS INC,VZ,15000928,729495000
2015-03-31,VIACOM INC NEW,VIAB,8265079,564505000
2015-03-31,VISA INC,V,9885160,646588000
2015-03-31,WABCO HLDGS INC,WBC,3863195,474709000
2015-03-31,WAL MART STORES INC,WMT,60385293,4966691000
2015-03-31,WELLS FARGO & CO NEW,WFC,470292359,25583903000
2015-06-30,AMERICAN EXPRESS CO,AXP,151610700,11783184000
2015-06-30,AXALTA COATING SYS LTD,AXTA,20000000,661600000
2015-06-30,BANK OF NEW YORK MELLON CORP,BK,20680420,867957000
2015-06-30,CHARTER COMMUNICATIONS INC D,CHTR,8514678,1458139000
2015-06-30,CHICAGO BRIDGE & IRON CO N V,CBI,9326921,466719000
2015-06-30,COCA COLA CO,KO,400000000,15692001000
2015-06-30,COSTCO WHSL CORP NEW,COST,4333363,585264000
2015-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,3064805000
2015-06-30,DEERE & CO,DE,17310090,1679944000
2015-06-30,DIRECTV,DTV1,31353468,2909288000
2015-06-30,GENERAL ELECTRIC CO,GE,10585502,281257000
2015-06-30,GENERAL MTRS CO,GM,41000000,1366530000
2015-06-30,GOLDMAN SACHS GROUP INC,GS,12631531,2637337000
2015-06-30,GRAHAM HLDGS CO,GHC,107575,115649000
2015-06-30,INTERNATIONAL BUSINESS MACHS,IBM,79565115,12942062000
2015-06-30,JOHNSON & JOHNSON,JNJ,327100,31879000
2015-06-30,KRAFT FOODS GROUP INC,KRFT,192666,16404000
2015-06-30,LEE ENTERPRISES INC,LEE,88863,296000
2015-06-30,LIBERTY GLOBAL PLC,LBTYA,10342793,559234000
2015-06-30,LIBERTY GLOBAL PLC,LBTYK,7346968,371977000
2015-06-30,LIBERTY MEDIA CORP DELAWARE,FWONA,4000000,144160000
2015-06-30,LIBERTY MEDIA CORP DELAWARE,FWONK,8000000,287200000
2015-06-30,M & T BK CORP,MTB,5382040,672379000
2015-06-30,MASTERCARD INC,MA,5229756,488878000
2015-06-30,MEDIA GEN INC NEW,MEG1,4646220,76756000
2015-06-30,MONDELEZ INTL INC,MDLZ,578000,23779000
2015-06-30,MOODYS CORP,MCO,24669778,2663349000
2015-06-30,NOW INC,DNOW,1825569,36348000
2015-06-30,PHILLIPS 66,PSX,29697948,2392467
2015-06-30,PRECISION CASTPARTS CORP,PCP,4200792,839612000
2015-06-30,PROCTER & GAMBLE CO,PG,52793078,4130531000
2015-06-30,RESTAURANT BRANDS INTL INC,QSR,8438225,322425000
2015-06-30,TORCHMARK CORP,GL,6353727,369915000
2015-06-30,TWENTY FIRST CENTY FOX INC,TFCFA,6228097,202693000
2015-06-30,U S G CORP,USG,39002016,1083866000
2015-06-30,UNITED PARCEL SERVICE INC,UPS,59400,5756000
2015-06-30,US BANCORP DEL,USB,85063167,3691742000
2015-06-30,VERISIGN INC,VRSN,12985000,801434000
2015-06-30,VERISK ANALYTICS INC,VRSK,1563434,113755000
2015-06-30,VERIZON COMMUNICATIONS INC,VZ,15000928,699193000
2015-06-30,VIACOM INC NEW,VIAB,5646721,365004000
2015-06-30,VISA INC,V,9885160,663788000
2015-06-30,WABCO HLDGS INC,WBC,3777195,467315000
2015-06-30,WAL MART STORES INC,WMT,60385293,4283129000
2015-06-30,WELLS FARGO & CO NEW,WFC,470292359,26449243000
2015-09-30,AMERICAN EXPRESS CO,AXP,151610700,11238901000
2015-09-30,AT&T INC,T,59320756,1932670000
2015-09-30,AXALTA COATING SYS LTD,AXTA,23199474,587875000
2015-09-30,BANK OF NEW YORK MELLON CORP,BK,20112212,787393000
2015-09-30,CHARTER COMMUNICATIONS INC D,CHTR,10281603,1808020000
2015-09-30,CHICAGO BRIDGE & IRON CO N V,CBI,1983190,78653000
2015-09-30,COCA COLA CO,KO,400000000,16047999000
2015-09-30,COSTCO WHSL CORP NEW,COST,4333363,626474000
2015-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,38565570,2789448000
2015-09-30,DEERE & CO,DE,17052110,1261857000
2015-09-30,GENERAL ELECTRIC CO,GE,10585502,266966000
2015-09-30,GENERAL MTRS CO,GM,50000000,1501000000
2015-09-30,GOLDMAN SACHS GROUP INC,GS,10959519,1904326000
2015-09-30,GRAHAM HLDGS CO,GHC,107575,62071000
2015-09-30,INTERNATIONAL BUSINESS MACHS,IBM,81033450,11747419000
2015-09-30,JOHNSON & JOHNSON,JNJ,327100,30535000
2015-09-30,KRAFT HEINZ CO,KHC,325634818,22983305000
2015-09-30,LEE ENTERPRISES INC,LEE,88863,185000
2015-09-30,LIBERTY GLOBAL PLC,LBTYA,11957285,513446000
2015-09-30,LIBERTY GLOBAL PLC,LBTYK,7346968,301373000
2015-09-30,LIBERTY GLOBAL PLC,LILA,517139,17422000
2015-09-30,LIBERTY GLOBAL PLC,LILAK,367348,12578000
2015-09-30,LIBERTY MEDIA CORP DELAWARE,FWONA,7800000,278617000
2015-09-30,LIBERTY MEDIA CORP DELAWARE,FWONK,15386257,530210000
2015-09-30,M & T BK CORP,MTB,5382040,656340000
2015-09-30,MASTERCARD INC,MA,5229756,471306000
2015-09-30,MEDIA GEN INC NEW,MEG1,3471309,48564000
2015-09-30,MONDELEZ INTL INC,MDLZ,578000,24201000
2015-09-30,MOODYS CORP,MCO,24669778,2422572000
2015-09-30,NOW INC,DNOW,1825569,27018000
2015-09-30,PHILLIPS 66,PSX,61486926,4724655000
2015-09-30,PRECISION CASTPARTS CORP,PCP,4200792,964963000
2015-09-30,PROCTER & GAMBLE CO,PG,52793078,3797934000
2015-09-30,RESTAURANT BRANDS INTL INC,QSR,8438225,303101000
2015-09-30,TORCHMARK CORP,GL,6353727,358350000
